Income,Expenditure,Age,Family_Size
1391.9,1171.1,22,3
1389.3,1169.5,21,3
1388.4,1169,19,3
1387.5,1168.4,22,4
1386.6,1167.9,19,4
1385.7,1167.4,17,4
1384.8,1166.8,15,4
1384,1166.3,16,5
1383.1,1165.8,18,3
1380.4,1164.2,19,4
1379.5,1163.7,22,3
1378.7,1163.1,21,3
1377.8,1162.6,21,3
1376,1161.5,22,4
1375.1,1161,23,4
1374.2,1160.5,23,5
1373.4,1160,21,5
1372.5,1159.4,17,1
1371.6,1158.9,21,4
1369.8,1157.8,23,1
1368.9,1157.3,18,6
1368.1,1156.8,15,6
1364.5,1154.7,23,2
1363.6,1154.1,23,2
1362.8,1153.6,23,3
1361.9,1153.1,16,5
1360.1,1152,17,3
1358.3,1151,23,1
1353.9,1148.3,17,5
1349.5,1145.7,15,2
1348.6,1145.1,18,4
1346.9,1144.1,21,6
1346,1143.5,19,6
1340.7,1140.4,15,5
1338.9,1139.3,23,6
1338,1138.8,19,6
1337.1,1138.3,18,6
1336.3,1137.7,17,6
1334.5,1136.7,15,6
1331,1134.5,17,5
1330.1,1134,16,5
1328.3,1133,21,4
1327.4,1132.4,18,5
1325.6,1131.4,15,4
1322.1,1129.2,19,4
1321.2,1128.7,17,4
1320.3,1128.2,17,4
1313.3,1124,19,4
1312.4,1123.4,15,4
1311.5,1122.9,19,3
1310.6,1122.4,23,3
1305.3,1119.2,15,4
1302.7,1117.6,15,5
1300,1116,22,3
1299.1,1115.5,15,3
1298.3,1115,20,8
1297.4,1114.4,22,8
1296.5,1113.9,15,8
1293.8,1112.3,21,5
1291.2,1110.7,22,4
1289.4,1109.7,22,3
1287.7,1108.6,21,3
1286.8,1108.1,19,3
1285.9,1107.5,22,4
1285,1107,20,4
1284.1,1106.5,23,4
1283.2,1106,23,4
1282.4,1105.4,20,4
1281.5,1104.9,19,4
1280.6,1104.4,15,4
1277.9,1102.8,18,6
1277.1,1102.2,16,6
1271.8,1099.1,17,3
1270.9,1098.5,20,2
1268.2,1097,23,5
1267.3,1096.4,20,5
1266.5,1095.9,15,4
1258.5,1091.1,19,5
1257.6,1090.6,17,5
1256.7,1090.1,15,5
1252.3,1087.4,22,3
1251.4,1086.9,17,3
1247.9,1084.8,16,2
1247,1084.2,18,5
1246.1,1083.7,17,5
1244.4,1082.7,17,4
1240.8,1080.5,21,6
1240,1080,17,6
1235.5,1077.4,16,6
1233.8,1076.3,17,2
1231.1,1074.7,20,3
1228.5,1073.1,18,1
1224.9,1071,20,5
1224.1,1070.5,20,5
1223.2,1070,23,2
1221.4,1068.9,17,3
1220.5,1068.4,21,3
1219.6,1067.8,22,3
1218.8,1067.3,23,4
1217.9,1066.8,18,4
1217,1066.2,20,4
1216.1,1065.7,19,4
1214.3,1064.7,19,3
1212.6,1063.6,20,3
1211.7,1063.1,23,4
1210.8,1062.5,18,4
1209.9,1062,17,4
1207.3,1060.4,17,6
1202,1057.2,21,3
1201.1,1056.7,23,5
1199.3,1055.7,16,5
1198.4,1055.1,20,5
1197.6,1054.6,17,5
1196.7,1054.1,23,5
1195.8,1053.5,20,5
1194.9,1053,18,5
1192.3,1051.4,18,3
1191.4,1050.9,22,3
1190.5,1050.4,23,4
1187.8,1048.8,19,2
1187,1048.2,17,2
1186.1,1047.7,20,3
1185.2,1047.2,17,4
1183.4,1046.1,20,4
1182.5,1045.6,18,4
1181.7,1045.1,16,4
1180.8,1044.5,20,3
1179.9,1044,19,3
1179,1043.5,21,3
1178.1,1043,22,5
1173.7,1040.3,20,3
1171.1,1038.7,19,5
1170.2,1038.2,18,5
1169.3,1037.7,16,5
1165.8,1035.5,18,3
1164.9,1035,19,4
1164,1034.5,18,4
1163.1,1033.9,18,4
1162.2,1033.4,16,4
1161.3,1032.9,21,2
1159.6,1031.8,17,3
1158.7,1031.3,16,4
1156.9,1030.2,16,3
1156,1029.7,23,5
1155.2,1029.2,20,5
1152.5,1027.6,23,3
1151.6,1027.1,23,3
1150.7,1026.5,20,3
1149,1025.5,20,2
