CATEGORIA;CLASA;SEX;AGE;AGROUP;EDUC;OCUP;STAP;STAO;ACTP;INCOME
5;2;1;33;2;7;3322;1;1;5;16796.56
7;2;2;33;2;7;3313;1;1;5;15744.87
7;2;1;51;4;4;7413;1;1;2;21290.3966666667
11;3;2;49;4;5;9111;1;1;6;14006.04
9;3;1;45;4;4;7131;1;1;3;11049.16
9;3;2;45;4;4;7314;1;1;2;0
9;3;2;42;3;4;7536;1;4;2;14505.72
9;3;1;44;3;4;7535;1;1;2;0
9;3;2;45;4;5;7535;1;1;2;0
6;2;2;35;3;7;2631;1;1;6;24360.3742424242
9;3;1;53;4;4;7214;1;1;2;15846.2464705882
9;3;1;29;2;7;5223;1;1;5;0
4;2;1;43;3;7;2149;1;1;4;25377.165
8;2;2;43;3;5;4221;1;1;5;32292.91
9;3;2;23;1;7;5223;1;1;5;16635.44
6;2;1;44;3;7;2622;1;1;6;0
6;2;2;38;3;7;2310;1;1;6;29460.63
9;3;2;57;5;3;5153;1;1;6;0
9;3;2;33;2;5;7531;1;1;2;11112.48
11;3;1;34;2;4;9333;1;1;5;12161.32
9;3;1;28;2;4;8332;1;1;3;26756.115
8;2;1;31;2;4;7112;1;1;3;11090.2890909091
5;2;2;28;2;5;3324;1;1;6;2645.56
9;3;1;51;4;3;7131;1;1;3;0
8;2;1;33;2;3;7115;1;1;2;12985.84
11;3;2;27;2;3;9412;1;1;5;0
11;3;1;27;2;3;9333;1;1;4;7892.72
9;3;1;37;3;6;6111;1;4;1;0
8;2;1;24;1;4;7224;1;4;2;0
5;2;1;27;2;7;3322;1;1;5;16796.56
6;2;2;25;2;7;2330;1;1;6;15457.847037037
11;3;2;51;4;5;9629;1;1;2;10417.36
11;3;2;39;3;5;9629;1;1;5;2554.48
6;2;2;36;3;7;2634;1;1;6;26573.4733333333
6;2;1;50;4;7;2330;1;1;6;28458.5075
11;3;1;53;4;4;9629;1;1;5;15289.7866666667
9;3;2;48;4;5;7543;1;1;2;32958.12
5;2;2;24;1;7;3324;1;1;5;0
11;3;2;25;2;3;5212;1;1;5;0
9;3;1;37;3;5;7132;1;1;5;18358.8
8;2;1;36;3;4;7224;1;1;2;14275.944
6;2;1;51;4;7;2636;1;1;5;55795
8;2;2;46;4;7;5142;1;1;5;0
9;3;1;26;2;7;6111;1;1;1;0
9;3;2;48;4;4;7535;1;1;2;0
